shamsi_year_month,y,yhat,yhat_lower,yhat_upper,service,category
(1403-06),220.0,208.9856437535944,7.409676921074655,405.8537602296989,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1403-07),226.0,218.0975907971146,31.78422149064984,403.1797877927194,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1403-08),195.0,214.8634290952732,24.832870184192807,402.9812720284151,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1403-09),253.0,216.9763258739397,24.35242735150746,407.9949972834774,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1403-10),195.0,229.2396261813738,38.89484698392683,422.4196796123056,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1403-11),240.0,261.27990501651203,67.45875587270426,452.4922055282148,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1403-12),465.0,429.0919722048912,236.81137298359508,622.4179036610428,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1404-01),0.0,325.1215852329729,126.4126920361562,526.0454638214054,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1404-02),0.0,350.9391306330792,150.72456506405837,550.1829700203723,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1404-03),0.0,360.5935675577644,161.45727611693454,558.0441645499643,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1404-04),0.0,388.3580392144983,187.83205650086492,589.3693598266495,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1404-05),0.0,357.8030979907591,158.82116085220449,556.2870272609196,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1404-06),0.0,339.50225181247055,140.4269753375371,537.8769457690089,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1404-07),0.0,351.64644029267413,159.40530399173906,543.7061565102553,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1404-08),0.0,340.51375295227217,146.23300144753136,531.6618393971311,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1404-09),0.0,342.76875634203617,147.9704833347916,537.3920452639595,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1404-10),0.0,355.0208813049678,160.69481685068055,551.6437922497812,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1404-11),0.0,388.5712254093083,192.8942333290302,582.8731843215858,اصلاح صورت و ابرو بانوان,زیبایی بانوان
