shamsi_year_month,y,yhat,yhat_lower,yhat_upper,category
(1403-04),8799.0,7840.256313545658,6413.925697960924,9299.93510795366,برقکاری
(1403-05),10158.0,8464.732099561414,7050.288714223456,9910.127862491307,برقکاری
(1403-06),7465.0,7186.456315897032,5760.976782986818,8650.731803270683,برقکاری
(1403-07),6867.0,6661.198359301572,5262.99940746393,8075.908667784231,برقکاری
(1403-08),6757.0,6718.929295246068,5306.504988987201,8125.808205110168,برقکاری
(1403-09),7058.0,6838.389723695282,5430.904102389589,8233.849879546025,برقکاری
(1403-10),7183.0,7048.896333746021,5655.343008800382,8450.969892361692,برقکاری
(1403-11),7442.0,7302.716150873915,5899.431266984736,8687.662630941591,برقکاری
(1403-12),9594.0,8297.902425185852,6898.3079915899225,9711.934374861692,برقکاری
(1404-01),6582.0,6900.194836555251,5447.403765050097,8330.150679225535,برقکاری
(1404-02),9099.0,8069.312883557212,6633.833886761936,9508.714606751433,برقکاری
(1404-03),7929.0,8698.576202649805,7258.92866666269,10124.027504315769,برقکاری
(1404-04),8380.0,9622.62945155367,8189.343560351419,11083.30401344041,برقکاری
(1404-05),9739.0,10159.929583523837,8716.100637989995,11597.79330858778,برقکاری
(1404-06),8455.0,8890.43429935973,7449.516033501101,10322.703365645113,برقکاری
(1404-07),7566.0,8312.201751153794,6916.360396703085,9713.196274857502,برقکاری
(1404-08),7698.0,8392.373117542773,7003.048565771544,9772.089426308088,برقکاری
(1404-09),0.0,8501.43665898775,7090.184200811981,9886.762182497696,برقکاری
(1404-10),0.0,8702.658400344046,7300.4737080004115,10103.930919668335,برقکاری
(1404-11),0.0,8978.391134626805,7577.337421591708,10366.571285277045,برقکاری
(1404-12),0.0,9631.368560353312,8276.522278480748,10983.850713478265,برقکاری
(1405-01),0.0,8621.331395625442,7191.430848566051,10057.109064777196,برقکاری
(1405-02),0.0,9784.86750353484,8343.44532658136,11234.57414920129,برقکاری
(1405-03),0.0,10406.42002509622,8940.939359566712,11873.363833486836,برقکاری
(1405-04),0.0,11306.684970261527,9854.328643543513,12750.538349654926,برقکاری
(1405-05),0.0,11890.200458564517,10447.953601794105,13332.797238695557,برقکاری
(1405-06),0.0,10604.657407971483,9154.439284830154,12047.186468210777,برقکاری
(1401-01),728.0,682.9455845396902,451.97825619694703,910.2979337702611,تعمیرات موبایل
(1401-02),700.0,620.1025167550421,389.79006467201447,851.4708973602354,تعمیرات موبایل
(1401-03),541.0,564.8862152194121,333.88882077533395,798.5342903596675,تعمیرات موبایل
(1401-04),611.0,622.6034049887501,391.2554003183162,854.3582461122269,تعمیرات موبایل
(1401-05),799.0,686.5827664707896,455.8862925479417,917.9160318522805,تعمیرات موبایل
(1401-06),621.0,602.1582580544839,371.23409866011514,833.3169424898017,تعمیرات موبایل
(1401-07),452.0,512.0133462517429,288.5681551663009,734.7691112881204,تعمیرات موبایل
(1401-08),632.0,577.3147741326197,353.0034315560418,802.4834547684936,تعمیرات موبایل
(1401-09),568.0,542.6962135574349,320.6788527865669,767.4675493741316,تعمیرات موبایل
(1401-10),789.0,616.426634497662,390.73284067901267,841.0990107082807,تعمیرات موبایل
(1401-11),488.0,527.4029815258955,302.18385006432874,749.1269144813119,تعمیرات موبایل
(1401-12),512.0,528.4695262395729,309.4305747885165,746.5937025700642,تعمیرات موبایل
(1402-01),605.0,601.174569157747,371.149397438233,836.5209268707257,تعمیرات موبایل
(1402-02),370.0,540.8415706232302,308.7369289946042,774.081212062299,تعمیرات موبایل
(1402-03),444.0,483.9930835289504,246.97613981838015,718.4976164933883,تعمیرات موبایل
(1402-04),431.0,544.1228570835038,310.8586804633474,773.4727780432747,تعمیرات موبایل
(1402-05),444.0,607.2108039560661,374.12179433179773,839.6746014032784,تعمیرات موبایل
(1402-06),429.0,525.8960805001233,295.52543433334023,759.93890688572,تعمیرات موبایل
(1402-07),431.0,447.7165729124313,224.10353284585585,670.6292394755013,تعمیرات موبایل
(1402-08),446.0,516.091869499976,292.4007750017643,741.4499016772777,تعمیرات موبایل
(1402-09),477.0,486.8973218384577,262.077479212261,710.800762520109,تعمیرات موبایل
(1402-10),441.0,573.7882994366298,348.7341891186642,797.7488058932468,تعمیرات موبایل
(1402-11),447.0,488.42062946556206,266.17363662815086,712.2492900871273,تعمیرات موبایل
(1402-12),501.0,498.8853874267148,284.5601759006553,716.5362081661345,تعمیرات موبایل
(1403-01),541.0,576.9614341276983,342.99747862377075,807.9266695637408,تعمیرات موبایل
(1403-02),560.0,529.8350249632996,297.66440425127814,762.2189834689243,تعمیرات موبایل
