shamsi_year_month,y,yhat,yhat_lower,yhat_upper,service
(1404-02),0.0,138.0087642155943,9.356483516285216,267.1919067792898,امداد خودرو
(1404-03),0.0,183.95056697642934,52.20721802563638,313.16537005580324,امداد خودرو
(1404-04),0.0,266.76839963020086,136.8439297836061,397.8974558825445,امداد خودرو
(1404-05),0.0,294.09017808738184,162.38254755621085,424.41935982993596,امداد خودرو
(1404-06),0.0,233.89405480143907,103.6263238356274,364.23935518649864,امداد خودرو
(1404-07),0.0,162.02286383745428,34.921624063733525,287.4129063227248,امداد خودرو
(1404-08),0.0,150.50533732419441,22.892283019308046,277.0438483682999,امداد خودرو
(1404-09),0.0,161.6180851734326,35.35863021899743,287.91141575204296,امداد خودرو
(1404-10),0.0,182.83329452328488,54.980682131570084,313.6767756160882,امداد خودرو
(1404-11),0.0,186.06913953400434,54.957250841941146,316.34440229899786,امداد خودرو
(1404-12),0.0,192.55429104682253,64.81889141294863,321.0786787416877,امداد خودرو
(1401-01),199.0,204.50562116830082,100.42629946877447,307.6957477378934,اپیلاسیون بانوان در خانه
(1401-02),258.0,232.4901155100238,128.69529469691855,334.17568345643974,اپیلاسیون بانوان در خانه
(1401-03),236.0,230.4415888684636,127.01623404581741,333.99189481907496,اپیلاسیون بانوان در خانه
(1401-04),202.0,226.21940864949795,123.6505535890411,329.32451316920196,اپیلاسیون بانوان در خانه
(1401-05),249.0,237.9599296811469,136.08030184036033,339.497363070162,اپیلاسیون بانوان در خانه
(1401-06),175.0,175.02397590698203,72.39403106766099,278.06303601905057,اپیلاسیون بانوان در خانه
(1401-07),149.0,152.24224462913966,52.85770158962146,250.49817173639835,اپیلاسیون بانوان در خانه
(1401-08),147.0,143.8953252895721,44.46863197873306,242.8164604269041,اپیلاسیون بانوان در خانه
(1401-09),117.0,133.494898515644,40.25708851621957,226.18570162630738,اپیلاسیون بانوان در خانه
(1401-10),136.0,136.11867678239454,40.07685466978932,231.98929660199852,اپیلاسیون بانوان در خانه
(1401-11),149.0,139.6277429833202,41.36732312714886,237.62295462380183,اپیلاسیون بانوان در خانه
(1401-12),232.0,189.11293709167106,95.39702963308027,282.1483050382685,اپیلاسیون بانوان در خانه
(1402-01),133.0,152.46243827655204,52.01322472355364,251.92990338972692,اپیلاسیون بانوان در خانه
(1402-02),135.0,165.43124744861396,66.67006559862811,264.98131636917986,اپیلاسیون بانوان در خانه
(1402-03),165.0,160.4849138867684,60.04562667685165,260.130650059788,اپیلاسیون بانوان در خانه
(1402-04),157.0,157.45527493040527,54.108607117986594,261.3264541566571,اپیلاسیون بانوان در خانه
(1402-05),160.0,157.75524930664557,58.59229146707744,257.2094000721616,اپیلاسیون بانوان در خانه
(1402-06),99.0,115.14382985671435,11.6446710285646,217.18957962891488,اپیلاسیون بانوان در خانه
(1402-07),86.0,85.9606669680689,-0.49351869853408875,172.53374332446631,اپیلاسیون بانوان در خانه
(1402-08),95.0,91.05921179484977,-9.25810826197809,190.91891999522758,اپیلاسیون بانوان در خانه
(1402-09),93.0,85.83839670048866,-11.078946381075232,181.58801922754748,اپیلاسیون بانوان در خانه
(1402-10),78.0,81.57347561956186,-10.731669793065489,174.12211114548646,اپیلاسیون بانوان در خانه
(1402-11),90.0,84.73237503891897,-12.002596896094326,181.33927370925733,اپیلاسیون بانوان در خانه
(1402-12),130.0,120.14937558886676,27.192619509321567,212.94979377196557,اپیلاسیون بانوان در خانه
(1403-01),64.0,90.34164818728847,1.2946297323726856,179.96737897883784,اپیلاسیون بانوان در خانه
(1403-02),100.0,113.59218473554712,15.972908226280957,209.26820967753923,اپیلاسیون بانوان در خانه
(1403-03),115.0,122.24958291529161,21.18835469971987,219.69185769863046,اپیلاسیون بانوان در خانه
(1403-04),149.0,128.5163929520739,24.739246922455344,231.537326995001,اپیلاسیون بانوان در خانه
(1403-05),141.0,143.4928447463605,40.523869444462065,245.34643171809924,اپیلاسیون بانوان در خانه
(1403-06),116.0,108.16207779038506,4.34249721408665,211.4794582421033,اپیلاسیون بانوان در خانه
(1403-07),106.0,98.656853872583,-1.3208468751607052,198.9435208251758,اپیلاسیون بانوان در خانه
(1403-08),94.0,94.08664573004864,-2.562761782074104,191.46093447345265,اپیلاسیون بانوان در خانه
(1403-09),112.0,88.70908902905529,-0.6965945527068493,178.09938051880343,اپیلاسیون بانوان در خانه
(1403-10),95.0,101.790976736819,2.173646205925318,201.23432621419306,اپیلاسیون بانوان در خانه
(1403-11),107.0,105.29021104202761,6.763484598913691,205.54168668387962,اپیلاسیون بانوان در خانه
(1403-12),136.0,153.58305763356336,56.26223249999085,249.11662755951457,اپیلاسیون بانوان در خانه
(1404-01),0.0,125.93454748856367,23.01954462758218,229.90427903885478,اپیلاسیون بانوان در خانه
(1404-02),0.0,149.92135966718692,47.62420418802207,252.79251833927339,اپیلاسیون بانوان در خانه
(1404-03),0.0,152.0871235008328,49.950718203201674,254.8199203323181,اپیلاسیون بانوان در خانه
(1404-04),0.0,154.84499367464562,51.54418346745616,258.32861209532575,اپیلاسیون بانوان در خانه
(1404-05),0.0,168.88426684443414,66.68523785233928,272.52123937458464,اپیلاسیون بانوان در خانه
(1404-06),0.0,126.85579048613899,23.572225085864577,229.0180275075898,اپیلاسیون بانوان در خانه
(1404-07),0.0,117.42899970317795,17.812139479684106,217.51316809294664,اپیلاسیون بانوان در خانه
(1404-08),0.0,113.32321833768303,13.569782801577256,213.16468433717571,اپیلاسیون بانوان در خانه
(1404-09),0.0,115.42685293594431,15.372254657805719,215.8613069647116,اپیلاسیون بانوان در خانه
(1404-10),0.0,119.02062796996286,18.428473102475216,218.39684144332614,اپیلاسیون بانوان در خانه
(1404-11),0.0,123.6806339018332,22.825688577597806,223.36341721568533,اپیلاسیون بانوان در خانه
(1404-12),0.0,178.037176561076,77.77043167693395,276.7330007300246,اپیلاسیون بانوان در خانه
(1401-01),56.0,51.799244560797966,15.089421608026123,88.80539082868299,اکستنشن مو بانوان در خانه
(1401-02),33.0,41.78999755550564,7.731454382810763,75.9402016841482,اکستنشن مو بانوان در خانه
(1401-03),42.0,37.81963464596356,11.502780524631262,64.87113020858114,اکستنشن مو بانوان در خانه
(1401-04),33.0,37.6376356177782,12.271285160988443,62.8266500698503,اکستنشن مو بانوان در خانه
(1401-05),35.0,27.962444466813558,6.647826218159763,48.88673504258644,اکستنشن مو بانوان در خانه
(1401-06),33.0,35.79527707699585,7.975974311485016,63.793145653469324,اکستنشن مو بانوان در خانه
(1401-07),31.0,32.56492932978955,4.491582562081821,61.07333213188842,اکستنشن مو بانوان در خانه
(1401-08),36.0,34.049460635836965,7.353660310857131,60.81706320849741,اکستنشن مو بانوان در خانه
(1401-09),25.0,35.49522602363821,7.771071997957851,63.46897336987215,اکستنشن مو بانوان در خانه
(1401-10),34.0,27.3053641300087,7.672856625303566,47.26951700044634,اکستنشن مو بانوان در خانه
(1401-11),46.0,44.095861207390925,13.320572797012007,75.4136777809594,اکستنشن مو بانوان در خانه
(1401-12),60.0,54.55424770688469,26.551225586579193,82.77862364210091,اکستنشن مو بانوان در خانه
(1402-01),29.0,32.80292543960525,7.51828186850744,58.556602320623334,اکستنشن مو بانوان در خانه
(1402-02),44.0,43.810825842754014,8.693115886703813,79.34398420711007,اکستنشن مو بانوان در خانه
