ds,category,Year,Month,y
2022-04-04,پیرایش و زیبایی آقایان,1401,1,1
2022-04-04,چوب و کابینت,1401,1,19
2022-04-04,کارواش و دیتیلینگ,1401,1,16
2022-04-04,کودک,1401,1,0
2022-04-05,آموزش,1401,1,1
2022-04-05,باربری و جابجایی,1401,1,25
2022-04-05,باغبانی و فضای سبز,1401,1,10
2022-04-05,برقکاری,1401,1,54
2022-04-05,تامین نیروی انسانی,1401,1,0
2022-04-05,تعمیرات موبایل,1401,1,3
2022-04-05,تندرستی و ورزش,1401,1,0
2022-04-05,حیوانات خانگی,1401,1,1
2022-04-05,خدمات بیمه‌,1401,1,2
2022-04-05,خدمات شیشه ای ساختمان,1401,1,9
2022-04-05,خدمات فوری آچاره,1401,1,17
2022-04-05,خدمات و تعمیرات خودرو,1401,1,24
2022-04-05,خدمات و تعمیرات ساختمان,1401,1,51
2022-04-05,خدمات کامپیوتری,1401,1,10
2022-04-05,خیاطی و تعمیرات لباس,1401,1,5
2022-04-05,زیبایی بانوان,1401,1,33
2022-04-05,سرمایش و گرمایش,1401,1,247
2022-04-05,شستشو,1401,1,28
2022-04-05,طراحی و بازسازی ساختمان,1401,1,0
2022-04-05,لوله کشی,1401,1,60
2022-04-05,مجالس و رویدادها,1401,1,0
2022-04-05,مشاوره,1401,1,1
2022-04-05,نصب و تعمیر لوازم خانگی,1401,1,78
2022-04-05,نظافت و پذیرایی,1401,1,248
2022-04-05,همه فن حریف,1401,1,2
2022-04-05,پزشکی و پرستاری,1401,1,8
2022-04-05,پیرایش و زیبایی آقایان,1401,1,1
2022-04-05,چوب و کابینت,1401,1,27
2022-04-05,کارواش و دیتیلینگ,1401,1,24
2022-04-05,کودک,1401,1,0
2022-04-06,آموزش,1401,1,1
2022-04-06,باربری و جابجایی,1401,1,33
2022-04-06,باغبانی و فضای سبز,1401,1,2
2022-04-06,برقکاری,1401,1,56
2022-04-06,تامین نیروی انسانی,1401,1,0
2022-04-06,تعمیرات موبایل,1401,1,4
2022-04-06,تندرستی و ورزش,1401,1,1
2022-04-06,حیوانات خانگی,1401,1,3
2022-04-06,خدمات بیمه‌,1401,1,2
2022-04-06,خدمات شرکتی,1401,1,0
2022-04-06,خدمات شیشه ای ساختمان,1401,1,9
2022-04-06,خدمات فوری آچاره,1401,1,8
2022-04-06,خدمات و تعمیرات خودرو,1401,1,22
2022-04-06,خدمات و تعمیرات ساختمان,1401,1,51
2022-04-06,خدمات کامپیوتری,1401,1,9
2022-04-06,خیاطی و تعمیرات لباس,1401,1,1
2022-04-06,زیبایی بانوان,1401,1,32
2022-04-06,سرمایش و گرمایش,1401,1,188
2022-04-06,شستشو,1401,1,52
2022-04-06,لوله کشی,1401,1,75
2022-04-06,مجالس و رویدادها,1401,1,0
2022-04-06,نصب و تعمیر لوازم خانگی,1401,1,81
2022-04-06,نظافت و پذیرایی,1401,1,267
2022-04-06,همه فن حریف,1401,1,0
2022-04-06,پزشکی و پرستاری,1401,1,4
2022-04-06,پیرایش و زیبایی آقایان,1401,1,0
2022-04-06,چوب و کابینت,1401,1,17
2022-04-06,کارواش و دیتیلینگ,1401,1,19
2022-04-06,کودک,1401,1,1
2022-04-07,آموزش,1401,1,1
2022-04-07,باربری و جابجایی,1401,1,33
2022-04-07,باغبانی و فضای سبز,1401,1,4
2022-04-07,برقکاری,1401,1,55
2022-04-07,تامین نیروی انسانی,1401,1,0
2022-04-07,تعمیرات موبایل,1401,1,2
2022-04-07,تندرستی و ورزش,1401,1,0
2022-04-07,حیوانات خانگی,1401,1,0
2022-04-07,خدمات بیمه‌,1401,1,0
2022-04-07,خدمات شیشه ای ساختمان,1401,1,4
2022-04-07,خدمات فوری آچاره,1401,1,12
2022-04-07,خدمات و تعمیرات خودرو,1401,1,27
2022-04-07,خدمات و تعمیرات ساختمان,1401,1,54
2022-04-07,خدمات کامپیوتری,1401,1,10
2022-04-07,خیاطی و تعمیرات لباس,1401,1,0
2022-04-07,زیبایی بانوان,1401,1,41
2022-04-07,سرمایش و گرمایش,1401,1,259
2022-04-07,شستشو,1401,1,24
2022-04-07,طراحی و بازسازی ساختمان,1401,1,1
2022-04-07,لوله کشی,1401,1,88
2022-04-07,مجالس و رویدادها,1401,1,1
2022-04-07,مشاوره,1401,1,1
2022-04-07,نصب و تعمیر لوازم خانگی,1401,1,99
2022-04-07,نظافت و پذیرایی,1401,1,295
2022-04-07,همه فن حریف,1401,1,0
2022-04-07,پزشکی و پرستاری,1401,1,5
2022-04-07,پیرایش و زیبایی آقایان,1401,1,3
2022-04-07,چوب و کابینت,1401,1,30
2022-04-07,کارواش و دیتیلینگ,1401,1,20
2022-04-07,کودک,1401,1,2
2022-04-08,آموزش,1401,1,1
2022-04-08,باربری و جابجایی,1401,1,30
2022-04-08,باغبانی و فضای سبز,1401,1,7
2022-04-08,برقکاری,1401,1,43
2022-04-08,تامین نیروی انسانی,1401,1,0
2022-04-08,تعمیرات موبایل,1401,1,5
2022-04-08,تندرستی و ورزش,1401,1,1
2022-04-08,حیوانات خانگی,1401,1,0
2022-04-08,خدمات شیشه ای ساختمان,1401,1,5
2022-04-08,خدمات فوری آچاره,1401,1,11
2022-04-08,خدمات و تعمیرات خودرو,1401,1,21
2022-04-08,خدمات و تعمیرات ساختمان,1401,1,61
2022-04-08,خدمات کامپیوتری,1401,1,7
2022-04-08,خیاطی و تعمیرات لباس,1401,1,1
2022-04-08,زیبایی بانوان,1401,1,31
2022-04-08,سرمایش و گرمایش,1401,1,207
2022-04-08,شستشو,1401,1,46
2022-04-08,طراحی و بازسازی ساختمان,1401,1,2
2022-04-08,لوله کشی,1401,1,69
2022-04-08,مجالس و رویدادها,1401,1,0
2022-04-08,مشاوره,1401,1,2
2022-04-08,نصب و تعمیر لوازم خانگی,1401,1,78
2022-04-08,نظافت و پذیرایی,1401,1,256
2022-04-08,پزشکی و پرستاری,1401,1,9
2022-04-08,پیرایش و زیبایی آقایان,1401,1,4
2022-04-08,چوب و کابینت,1401,1,20
2022-04-08,کارواش و دیتیلینگ,1401,1,15
2022-04-08,کودک,1401,1,2
